codigo,turno,data/hora
202500477,Tarde,2025-02-27 12:14:07
202500123,Manhã,2025-02-27 13:32:47
202500002,Tarde,2025-02-27 10:47:27
202500235,Manhã,2025-02-27 10:54:42
202500101,Manhã,2025-02-27 10:55:12
202400432,Manhã,2025-02-27 10:55:50
202500002,Tarde,2025-02-27 10:57:02
202500379,Tarde,2025-02-27 10:59:20
202500089,Manhã,2025-02-27 11:02:25
202500091,Manhã,2025-02-27 11:02:38
202500092,Manhã,2025-02-27 11:02:49
202500366,Manhã,2025-02-27 11:32:47
202500493,Tarde,2025-02-27 15:59:41
202500490,Tarde,2025-02-27 15:59:45
202500491,Tarde,2025-02-27 15:59:48
202500488,Tarde,2025-02-27 15:59:52
202500494,Tarde,2025-02-27 15:59:56
202500500,Tarde,2025-02-27 16:00:01
202500501,Tarde,2025-02-27 16:00:05
202500495,Tarde,2025-02-27 16:00:10
202500499,Tarde,2025-02-27 16:00:13
202500498,Tarde,2025-02-27 16:00:17
202400432,Manhã,2025-02-27 16:38:44
202400432,Manhã,2025-02-27 16:38:45
202500495,Tarde,2025-02-27 17:11:11
202500495,Tarde,2025-02-27 17:11:16
