codigo,turno,data/hora,tipo
202500498,Tarde,2025-04-26 12:25:07,Acesso
202500499,Tarde,2025-04-26 12:25:36,Acesso
202500490,Tarde,2025-04-26 12:55:49,Acesso
202500494,Tarde,2025-04-26 13:03:33,Acesso
202500497,Tarde,2025-04-26 13:10:46,Acesso
202500404,Tarde,2025-04-26 13:13:26,Acesso
202500389,Tarde,2025-04-26 13:13:27,Acesso
202500395,Tarde,2025-04-26 13:13:29,Acesso
202500481,Tarde,2025-04-26 13:13:31,Acesso
202500438,Tarde,2025-04-26 13:13:34,Acesso
202500422,Tarde,2025-04-26 13:13:42,Acesso
202500379,Tarde,2025-04-26 13:13:44,Acesso
202500419,Tarde,2025-04-26 13:13:47,Acesso
202500380,Tarde,2025-04-26 13:13:51,Acesso
202500388,Tarde,2025-04-26 13:13:53,Acesso
202500386,Tarde,2025-04-26 13:13:59,Acesso
202500391,Tarde,2025-04-26 13:14:01,Acesso
202500382,Tarde,2025-04-26 13:14:04,Acesso
202500415,Tarde,2025-04-26 13:14:06,Acesso
202500401,Tarde,2025-04-26 13:14:09,Acesso
202500505,Tarde,2025-04-26 13:14:14,Acesso
202500421,Tarde,2025-04-26 13:14:15,Acesso
202500416,Tarde,2025-04-26 13:14:17,Acesso
202500408,Tarde,2025-04-26 13:14:21,Acesso
202500504,Tarde,2025-04-26 13:14:25,Acesso
202500410,Tarde,2025-04-26 13:14:27,Acesso
202500414,Tarde,2025-04-26 13:14:28,Acesso
202500418,Tarde,2025-04-26 13:14:30,Acesso
202500399,Tarde,2025-04-26 13:14:40,Acesso
202500383,Tarde,2025-04-26 13:14:41,Acesso
202500412,Tarde,2025-04-26 13:14:43,Acesso
202500434,Tarde,2025-04-26 13:14:45,Acesso
202500413,Tarde,2025-04-26 13:14:46,Acesso
202500474,Tarde,2025-04-26 13:14:56,Acesso
202500467,Tarde,2025-04-26 13:14:57,Acesso
202500470,Tarde,2025-04-26 13:15:01,Acesso
202500409,Tarde,2025-04-26 13:15:04,Acesso
202500393,Tarde,2025-04-26 13:15:05,Acesso
202500394,Tarde,2025-04-26 13:15:07,Acesso
202500449,Tarde,2025-04-26 13:15:07,Acesso
202500509,Tarde,2025-04-26 13:15:11,Acesso
202500457,Tarde,2025-04-26 13:15:16,Acesso
202500384,Tarde,2025-04-26 13:15:17,Acesso
202500398,Tarde,2025-04-26 13:15:19,Acesso
202500424,Tarde,2025-04-26 13:15:20,Acesso
202500477,Tarde,2025-04-26 13:15:27,Acesso
202500459,Tarde,2025-04-26 13:15:31,Acesso
202500441,Tarde,2025-04-26 13:15:46,Acesso
202500476,Tarde,2025-04-26 13:17:39,Acesso
202500488,Tarde,2025-04-26 13:18:38,Acesso
202500435,Tarde,2025-04-26 13:19:29,Acesso
202500447,Tarde,2025-04-26 13:21:49,Acesso
202500482,Tarde,2025-04-26 13:21:54,Acesso
202500433,Tarde,2025-04-26 13:23:16,Acesso
202500495,Tarde,2025-04-26 13:24:36,Acesso
202500439,Tarde,2025-04-26 13:25:07,Acesso
202500451,Tarde,2025-04-26 13:28:20,Acesso
202500452,Tarde,2025-04-26 15:14:51,Acesso
202500406,Tarde,2025-04-26 17:34:39,Acesso
