codigo,turno,data/hora,tipo
202500002,Tarde,2025-03-17 11:53:28,Entrada
202500490,Tarde,2025-03-17 13:05:19,Entrada
202500454,Tarde,2025-03-17 13:08:03,Entrada
202500404,Tarde,2025-03-17 13:08:39,Entrada
202500398,Tarde,2025-03-17 13:08:48,Entrada
202500401,Tarde,2025-03-17 13:09:06,Entrada
202500471,Tarde,2025-03-17 13:09:07,Entrada
202500395,Tarde,2025-03-17 13:09:09,Entrada
202500481,Tarde,2025-03-17 13:09:12,Saída
202500426,Tarde,2025-03-17 13:09:16,Entrada
202500379,Tarde,2025-03-17 13:09:20,Entrada
202500380,Tarde,2025-03-17 13:09:25,Entrada
202500422,Tarde,2025-03-17 13:09:30,Saída
202500427,Tarde,2025-03-17 13:09:37,Entrada
202500388,Tarde,2025-03-17 13:09:40,Entrada
202500456,Tarde,2025-03-17 13:09:44,Entrada
202500394,Tarde,2025-03-17 13:09:47,Entrada
202500393,Tarde,2025-03-17 13:09:53,Entrada
202500421,Tarde,2025-03-17 13:09:57,Entrada
202500438,Tarde,2025-03-17 13:10:01,Entrada
202500384,Tarde,2025-03-17 13:10:03,Entrada
202500431,Tarde,2025-03-17 13:10:09,Entrada
202500449,Tarde,2025-03-17 13:10:12,Saída
202500400,Tarde,2025-03-17 13:10:20,Entrada
202500382,Tarde,2025-03-17 13:10:25,Entrada
202500505,Tarde,2025-03-17 13:10:29,Saída
202500418,Tarde,2025-03-17 13:10:34,Entrada
202500457,Tarde,2025-03-17 13:10:37,Entrada
202500504,Tarde,2025-03-17 13:10:40,Entrada
202500424,Tarde,2025-03-17 13:10:46,Entrada
202500436,Tarde,2025-03-17 13:10:56,Entrada
202500435,Tarde,2025-03-17 13:11:08,Entrada
202500389,Tarde,2025-03-17 13:11:45,Entrada
202500503,Tarde,2025-03-17 13:11:47,Saída
202500495,Tarde,2025-03-17 13:12:15,Entrada
202500383,Tarde,2025-03-17 13:12:21,Entrada
202500406,Tarde,2025-03-17 13:12:24,Entrada
202500408,Tarde,2025-03-17 13:12:27,Entrada
202500444,Tarde,2025-03-17 13:12:28,Saída
202500455,Tarde,2025-03-17 13:12:32,Entrada
202500432,Tarde,2025-03-17 13:12:37,Saída
202500433,Tarde,2025-03-17 13:13:24,Entrada
202500484,Tarde,2025-03-17 13:13:52,Entrada
202500458,Tarde,2025-03-17 13:14:11,Saída
202500466,Tarde,2025-03-17 13:16:12,Entrada
202500467,Tarde,2025-03-17 13:16:14,Entrada
202500434,Tarde,2025-03-17 13:16:15,Entrada
202500482,Tarde,2025-03-17 13:16:18,Entrada
202500464,Tarde,2025-03-17 13:17:50,Entrada
