codigo,turno,data/hora,tipo
202500483,Tarde,2025-05-01 11:53:24,Acesso
202500427,Tarde,2025-05-01 12:01:41,Acesso
202500404,Tarde,2025-05-01 12:01:43,Acesso
202500497,Tarde,2025-05-01 13:11:23,Acesso
202500455,Tarde,2025-05-01 13:13:10,Acesso
202500382,Tarde,2025-05-01 13:13:40,Acesso
202500510,Tarde,2025-05-01 13:13:50,Acesso
202500438,Tarde,2025-05-01 13:13:55,Acesso
202500434,Tarde,2025-05-01 13:13:58,Acesso
202500400,Tarde,2025-05-01 13:14:01,Acesso
202500418,Tarde,2025-05-01 13:14:04,Acesso
202500452,Tarde,2025-05-01 13:14:38,Acesso
202500386,Tarde,2025-05-01 13:14:45,Acesso
202500481,Tarde,2025-05-01 13:14:53,Acesso
202500389,Tarde,2025-05-01 13:15:00,Acesso
202500412,Tarde,2025-05-01 13:15:02,Acesso
202500413,Tarde,2025-05-01 13:15:04,Acesso
202500394,Tarde,2025-05-01 13:15:07,Acesso
202500395,Tarde,2025-05-01 13:15:15,Acesso
202500504,Tarde,2025-05-01 13:15:18,Acesso
202500419,Tarde,2025-05-01 13:15:19,Acesso
202500463,Tarde,2025-05-01 13:15:21,Acesso
202500454,Tarde,2025-05-01 13:15:24,Acesso
202500384,Tarde,2025-05-01 13:15:25,Acesso
202500505,Tarde,2025-05-01 13:15:30,Acesso
202500421,Tarde,2025-05-01 13:15:32,Acesso
202500401,Tarde,2025-05-01 13:15:33,Acesso
202500477,Tarde,2025-05-01 13:15:35,Acesso
202500449,Tarde,2025-05-01 13:15:36,Acesso
202500398,Tarde,2025-05-01 13:15:38,Acesso
202500393,Tarde,2025-05-01 13:15:39,Acesso
202500467,Tarde,2025-05-01 13:15:44,Acesso
202500476,Tarde,2025-05-01 13:15:53,Acesso
202500424,Tarde,2025-05-01 13:15:55,Acesso
202500391,Tarde,2025-05-01 13:15:59,Acesso
202500457,Tarde,2025-05-01 13:16:01,Acesso
202500399,Tarde,2025-05-01 13:16:14,Acesso
202500433,Tarde,2025-05-01 13:19:33,Acesso
202500453,Tarde,2025-05-01 13:20:12,Acesso
202500462,Tarde,2025-05-01 13:20:28,Acesso
202500482,Tarde,2025-05-01 13:22:20,Acesso
202500415,Tarde,2025-05-01 13:24:14,Acesso
202500456,Tarde,2025-05-01 13:33:53,Acesso
202500469,Tarde,2025-05-01 13:34:34,Acesso
202500460,Tarde,2025-05-01 13:34:36,Acesso
202500458,Tarde,2025-05-01 14:44:36,Acesso
