codigo,turno,data/hora,tipo
202500431,Tarde,2025-04-12 13:10:43,Acesso
202500449,Tarde,2025-04-12 13:10:46,Acesso
202500418,Tarde,2025-04-12 13:10:49,Acesso
202500395,Tarde,2025-04-12 13:10:55,Acesso
202500379,Tarde,2025-04-12 13:10:56,Acesso
202500509,Tarde,2025-04-12 13:10:58,Acesso
202500427,Tarde,2025-04-12 13:10:59,Acesso
202500380,Tarde,2025-04-12 13:11:00,Acesso
202500435,Tarde,2025-04-12 13:11:02,Acesso
202500410,Tarde,2025-04-12 13:11:04,Acesso
202500464,Tarde,2025-04-12 13:11:06,Acesso
202500405,Tarde,2025-04-12 13:11:11,Acesso
202500416,Tarde,2025-04-12 13:11:14,Acesso
202500404,Tarde,2025-04-12 13:11:17,Acesso
202500432,Tarde,2025-04-12 13:11:19,Acesso
202500413,Tarde,2025-04-12 13:11:22,Acesso
202500481,Tarde,2025-04-12 13:11:22,Acesso
202500384,Tarde,2025-04-12 13:11:32,Acesso
202500452,Tarde,2025-04-12 13:11:35,Acesso
202500441,Tarde,2025-04-12 13:11:39,Acesso
202500437,Tarde,2025-04-12 13:11:40,Acesso
202500438,Tarde,2025-04-12 13:11:43,Acesso
202500470,Tarde,2025-04-12 13:11:45,Acesso
202500386,Tarde,2025-04-12 13:12:02,Acesso
202500399,Tarde,2025-04-12 13:12:03,Acesso
202500398,Tarde,2025-04-12 13:12:05,Acesso
202500503,Tarde,2025-04-12 13:12:15,Acesso
202500457,Tarde,2025-04-12 13:12:19,Acesso
202500389,Tarde,2025-04-12 13:12:20,Acesso
202500401,Tarde,2025-04-12 13:12:38,Acesso
202500505,Tarde,2025-04-12 13:12:56,Acesso
202500455,Tarde,2025-04-12 13:12:58,Acesso
202500450,Tarde,2025-04-12 13:13:41,Acesso
202500436,Tarde,2025-04-12 13:13:53,Acesso
202500424,Tarde,2025-04-12 13:14:15,Acesso
202500388,Tarde,2025-04-12 13:15:07,Acesso
202500394,Tarde,2025-04-12 13:15:13,Acesso
202500393,Tarde,2025-04-12 13:15:14,Acesso
202500460,Tarde,2025-04-12 13:15:37,Acesso
202500510,Tarde,2025-04-12 13:17:42,Acesso
202500400,Tarde,2025-04-12 13:18:29,Acesso
202500469,Tarde,2025-04-12 13:19:17,Acesso
202500434,Tarde,2025-04-12 13:20:45,Acesso
202500453,Tarde,2025-04-12 13:21:05,Acesso
202500462,Tarde,2025-04-12 13:21:14,Acesso
202500488,Tarde,2025-04-12 13:22:16,Acesso
202500482,Tarde,2025-04-12 13:24:50,Acesso
202500467,Tarde,2025-04-12 13:26:23,Acesso
202500466,Tarde,2025-04-12 13:26:25,Acesso
202500414,Tarde,2025-04-12 13:28:24,Acesso
202500433,Tarde,2025-04-12 13:28:26,Acesso
202500476,Tarde,2025-04-12 13:30:19,Acesso
202500504,Tarde,2025-04-12 13:32:43,Acesso
202500419,Tarde,2025-04-12 13:32:48,Acesso
202500420,Tarde,2025-04-12 13:32:56,Acesso
202500421,Tarde,2025-04-12 13:33:06,Acesso
202500468,Tarde,2025-04-12 13:34:17,Acesso
202500490,Tarde,2025-04-12 13:36:51,Acesso
202500459,Tarde,2025-04-12 13:40:12,Acesso
202500498,Tarde,2025-04-12 13:46:26,Acesso
202500407,Tarde,2025-04-12 13:54:06,Acesso
202500389,Tarde,2025-04-12 08:29:56,Acesso
202500504,Tarde,2025-04-12 08:34:02,Acesso
202500505,Tarde,2025-04-12 08:34:05,Acesso
