codigo,turno,data/hora,tipo
202500002,Tarde,2025-04-04 08:40:15,Entrada
202500498,Tarde,2025-04-04 12:17:56,Entrada
202500499,Tarde,2025-04-04 12:18:51,Entrada
202500490,Tarde,2025-04-04 12:59:38,Entrada
202500391,Tarde,2025-04-04 13:09:04,Entrada
202500395,Tarde,2025-04-04 13:09:05,Entrada
202500388,Tarde,2025-04-04 13:09:07,Entrada
202500380,Tarde,2025-04-04 13:09:10,Entrada
202500399,Tarde,2025-04-04 13:09:11,Entrada
202500432,Tarde,2025-04-04 13:09:12,Entrada
202500382,Tarde,2025-04-04 13:09:14,Saída
202500401,Tarde,2025-04-04 13:09:16,Entrada
202500379,Tarde,2025-04-04 13:09:17,Entrada
202500386,Tarde,2025-04-04 13:09:20,Entrada
202500404,Tarde,2025-04-04 13:09:24,Entrada
202500441,Tarde,2025-04-04 13:09:26,Entrada
202500419,Tarde,2025-04-04 13:09:31,Saída
202500463,Tarde,2025-04-04 13:09:35,Saída
202500427,Tarde,2025-04-04 13:09:36,Entrada
202500389,Tarde,2025-04-04 13:09:41,Entrada
202500421,Tarde,2025-04-04 13:09:43,Saída
202500508,Tarde,2025-04-04 13:09:46,Entrada
202500438,Tarde,2025-04-04 13:09:50,Entrada
202500384,Tarde,2025-04-04 13:09:53,Entrada
202500393,Tarde,2025-04-04 13:10:24,Entrada
202500394,Tarde,2025-04-04 13:10:26,Entrada
202500456,Tarde,2025-04-04 13:11:07,Entrada
202500406,Tarde,2025-04-04 13:11:31,Entrada
202500408,Tarde,2025-04-04 13:11:32,Entrada
202500444,Tarde,2025-04-04 13:11:33,Entrada
202500383,Tarde,2025-04-04 13:11:36,Entrada
202500455,Tarde,2025-04-04 13:11:45,Entrada
202500480,Tarde,2025-04-04 13:11:59,Entrada
202500505,Tarde,2025-04-04 13:12:11,Entrada
202500398,Tarde,2025-04-04 13:12:33,Saída
202500484,Tarde,2025-04-04 13:12:40,Saída
202500457,Tarde,2025-04-04 13:13:12,Saída
202500462,Tarde,2025-04-04 13:13:21,Entrada
202500418,Tarde,2025-04-04 13:13:28,Entrada
202500453,Tarde,2025-04-04 13:13:30,Entrada
202500477,Tarde,2025-04-04 13:13:59,Saída
202500424,Tarde,2025-04-04 13:14:01,Entrada
202500436,Tarde,2025-04-04 13:14:47,Entrada
202500451,Tarde,2025-04-04 13:15:41,Entrada
202500465,Tarde,2025-04-04 13:15:42,Entrada
202500502,Tarde,2025-04-04 13:17:46,Entrada
202500400,Tarde,2025-04-04 13:17:46,Entrada
202500495,Tarde,2025-04-04 13:18:45,Entrada
202500488,Tarde,2025-04-04 13:19:38,Saída
202500467,Tarde,2025-04-04 13:20:39,Entrada
202500466,Tarde,2025-04-04 13:20:41,Entrada
202500409,Tarde,2025-04-04 13:20:42,Entrada
202500504,Tarde,2025-04-04 13:21:01,Entrada
202500482,Tarde,2025-04-04 13:21:54,Entrada
202500405,Tarde,2025-04-04 13:21:55,Entrada
202500452,Tarde,2025-04-04 13:22:11,Entrada
202500415,Tarde,2025-04-04 13:22:38,Entrada
202500441,Tarde,2025-04-04 16:25:28,Saída
202500436,Tarde,2025-04-04 16:25:32,Saída
202500414,Tarde,2025-04-04 16:52:10,Saída
202500495,Tarde,2025-04-04 17:03:59,Saída
202500490,Tarde,2025-04-04 17:05:07,Saída
202500498,Tarde,2025-04-04 17:17:35,Saída
202500508,Tarde,2025-04-04 17:38:28,Saída
202500438,Tarde,2025-04-04 17:38:39,Saída
202500451,Tarde,2025-04-04 17:53:12,Saída
202500453,Tarde,2025-04-04 17:53:15,Saída
202500462,Tarde,2025-04-04 17:53:30,Saída
202500480,Tarde,2025-04-04 17:53:34,Saída
202500469,Tarde,2025-04-04 17:53:48,Entrada
202500444,Tarde,2025-04-04 17:55:06,Saída
202500455,Tarde,2025-04-04 17:55:07,Saída
202500452,Tarde,2025-04-04 17:55:19,Saída
202500467,Tarde,2025-04-04 17:58:04,Saída
202500470,Tarde,2025-04-04 17:59:04,Saída
202500395,Tarde,2025-04-04 17:59:43,Saída
202500386,Tarde,2025-04-04 17:59:45,Saída
202500388,Tarde,2025-04-04 17:59:47,Saída
202500404,Tarde,2025-04-04 17:59:49,Saída
202500405,Tarde,2025-04-04 17:59:50,Saída
202500389,Tarde,2025-04-04 17:59:51,Saída
202500382,Tarde,2025-04-04 17:59:54,Entrada
202500482,Tarde,2025-04-04 18:00:02,Saída
202500399,Tarde,2025-04-04 18:00:07,Saída
202500408,Tarde,2025-04-04 18:00:12,Saída
202500406,Tarde,2025-04-04 18:00:16,Saída
202500384,Tarde,2025-04-04 18:00:17,Saída
202500424,Tarde,2025-04-04 18:00:21,Saída
202500398,Tarde,2025-04-04 18:01:00,Entrada
202500383,Tarde,2025-04-04 18:01:03,Saída
202500502,Tarde,2025-04-04 18:01:04,Saída
202500379,Tarde,2025-04-04 18:01:06,Saída
202500400,Tarde,2025-04-04 18:01:08,Saída
202500505,Tarde,2025-04-04 18:01:10,Saída
202500380,Tarde,2025-04-04 18:01:13,Saída
202500393,Tarde,2025-04-04 18:01:27,Saída
202500394,Tarde,2025-04-04 18:01:30,Saída
202500415,Tarde,2025-04-04 18:01:32,Saída
202500432,Tarde,2025-04-04 18:03:20,Saída
202500478,Tarde,2025-04-04 18:03:31,Entrada
202500441,Tarde,2025-04-04 18:06:06,Entrada
202500490,Tarde,2025-04-04 13:02:49,Entrada
202500498,Tarde,2025-04-04 13:05:08,Entrada
202500495,Tarde,2025-04-04 13:11:16,Entrada
202500388,Tarde,2025-04-04 13:11:40,Entrada
202500386,Tarde,2025-04-04 13:11:43,Entrada
202500437,Tarde,2025-04-04 13:11:48,Saída
202500438,Tarde,2025-04-04 13:11:52,Entrada
202500379,Tarde,2025-04-04 13:11:56,Entrada
202500380,Tarde,2025-04-04 13:12:06,Entrada
202500426,Tarde,2025-04-04 13:12:08,Saída
202500382,Tarde,2025-04-04 13:12:12,Saída
202500401,Tarde,2025-04-04 13:12:13,Saída
202500418,Tarde,2025-04-04 13:12:17,Saída
202500424,Tarde,2025-04-04 13:12:20,Entrada
202500419,Tarde,2025-04-04 13:12:25,Entrada
202500422,Tarde,2025-04-04 13:12:29,Entrada
202500414,Tarde,2025-04-04 13:12:33,Entrada
202500410,Tarde,2025-04-04 13:12:37,Entrada
202500416,Tarde,2025-04-04 13:12:39,Entrada
202500395,Tarde,2025-04-04 13:12:42,Entrada
202500399,Tarde,2025-04-04 13:12:47,Entrada
202500452,Tarde,2025-04-04 13:12:52,Entrada
202500463,Tarde,2025-04-04 13:12:56,Entrada
202500434,Tarde,2025-04-04 13:13:00,Entrada
202500389,Tarde,2025-04-04 13:13:02,Entrada
202500503,Tarde,2025-04-04 13:13:05,Saída
202500384,Tarde,2025-04-04 13:13:10,Entrada
202500391,Tarde,2025-04-04 13:13:13,Saída
202500408,Tarde,2025-04-04 13:13:17,Entrada
202500420,Tarde,2025-04-04 13:13:25,Saída
202500421,Tarde,2025-04-04 13:13:28,Entrada
202500431,Tarde,2025-04-04 13:13:29,Entrada
202500393,Tarde,2025-04-04 13:13:41,Entrada
202500394,Tarde,2025-04-04 13:13:44,Entrada
202500502,Tarde,2025-04-04 13:13:47,Entrada
202500400,Tarde,2025-04-04 13:13:54,Entrada
202500383,Tarde,2025-04-04 13:13:59,Entrada
202500457,Tarde,2025-04-04 13:14:01,Entrada
202500444,Tarde,2025-04-04 13:15:13,Entrada
202500406,Tarde,2025-04-04 13:15:25,Entrada
202500505,Tarde,2025-04-04 13:15:38,Entrada
202500472,Tarde,2025-04-04 13:16:22,Saída
202500450,Tarde,2025-04-04 13:16:24,Saída
202500467,Tarde,2025-04-04 13:18:47,Entrada
202500447,Tarde,2025-04-04 13:21:37,Saída
202500488,Tarde,2025-04-04 13:21:39,Entrada
202500478,Tarde,2025-04-04 13:23:12,Saída
202500473,Tarde,2025-04-04 13:23:14,Entrada
202500409,Tarde,2025-04-04 13:23:15,Saída
202500415,Tarde,2025-04-04 13:23:51,Entrada
202500482,Tarde,2025-04-04 13:24:03,Entrada
202500464,Tarde,2025-04-04 13:24:48,Saída
202500497,Tarde,2025-04-04 13:38:15,Entrada
202500509,Tarde,2025-04-04 15:16:05,Entrada
202500495,Tarde,2025-04-04 16:54:08,Saída
202500490,Tarde,2025-04-04 17:05:40,Saída
202500498,Tarde,2025-04-04 17:22:02,Saída
202500499,Tarde,2025-04-04 17:29:45,Saída
202500418,Tarde,2025-04-04 17:58:05,Entrada
202500424,Tarde,2025-04-04 17:58:06,Saída
202500415,Tarde,2025-04-04 17:58:09,Saída
202500414,Tarde,2025-04-04 17:58:11,Saída
202500434,Tarde,2025-04-04 17:58:45,Saída
202500408,Tarde,2025-04-04 17:58:52,Saída
202500444,Tarde,2025-04-04 17:58:53,Saída
202500431,Tarde,2025-04-04 17:58:54,Saída
202500455,Tarde,2025-04-04 17:58:56,Entrada
202500437,Tarde,2025-04-04 17:59:08,Entrada
202500401,Tarde,2025-04-04 17:59:51,Entrada
202500503,Tarde,2025-04-04 18:00:19,Entrada
202500478,Tarde,2025-04-04 18:00:31,Entrada
202500399,Tarde,2025-04-04 18:00:49,Saída
202500406,Tarde,2025-04-04 18:00:56,Saída
202500504,Tarde,2025-04-04 18:01:08,Saída
202500388,Tarde,2025-04-04 18:01:08,Saída
202500505,Tarde,2025-04-04 18:01:12,Saída
202500509,Tarde,2025-04-04 18:01:13,Saída
202500400,Tarde,2025-04-04 18:01:15,Saída
202500502,Tarde,2025-04-04 18:01:19,Saída
202500380,Tarde,2025-04-04 18:01:27,Saída
202500389,Tarde,2025-04-04 18:01:28,Saída
202500482,Tarde,2025-04-04 18:01:31,Saída
202500395,Tarde,2025-04-04 18:01:35,Saída
202500386,Tarde,2025-04-04 18:01:47,Saída
202500383,Tarde,2025-04-04 18:01:48,Saída
202500393,Tarde,2025-04-04 18:01:52,Saída
202500394,Tarde,2025-04-04 18:02:46,Saída
