codigo,turno,data/hora,tipo
202500002,Tarde,2025-03-18 11:53:28,Entrada
202500490,Tarde,2025-03-18 13:05:19,Entrada
202500454,Tarde,2025-03-18 13:08:03,Entrada
202500404,Tarde,2025-03-18 13:08:39,Entrada
202500398,Tarde,2025-03-18 13:08:48,Entrada
202500401,Tarde,2025-03-18 13:09:06,Entrada
202500471,Tarde,2025-03-18 13:09:07,Entrada
202500395,Tarde,2025-03-18 13:09:09,Entrada
202500481,Tarde,2025-03-18 13:09:12,Saída
202500426,Tarde,2025-03-18 13:09:16,Entrada
202500379,Tarde,2025-03-18 13:09:20,Entrada
202500380,Tarde,2025-03-18 13:09:25,Entrada
202500422,Tarde,2025-03-18 13:09:30,Saída
202500427,Tarde,2025-03-18 13:09:37,Entrada
202500388,Tarde,2025-03-18 13:09:40,Entrada
202500456,Tarde,2025-03-18 13:09:44,Entrada
202500394,Tarde,2025-03-18 13:09:47,Entrada
202500393,Tarde,2025-03-18 13:09:53,Entrada
202500421,Tarde,2025-03-18 13:09:57,Entrada
202500438,Tarde,2025-03-18 13:10:01,Entrada
202500384,Tarde,2025-03-18 13:10:03,Entrada
202500431,Tarde,2025-03-18 13:10:09,Entrada
202500449,Tarde,2025-03-18 13:10:12,Saída
202500400,Tarde,2025-03-18 13:10:20,Entrada
202500382,Tarde,2025-03-18 13:10:25,Entrada
202500505,Tarde,2025-03-18 13:10:29,Saída
202500418,Tarde,2025-03-18 13:10:34,Entrada
202500457,Tarde,2025-03-18 13:10:37,Entrada
202500504,Tarde,2025-03-18 13:10:40,Entrada
202500424,Tarde,2025-03-18 13:10:46,Entrada
202500436,Tarde,2025-03-18 13:10:56,Entrada
202500435,Tarde,2025-03-18 13:11:08,Entrada
202500389,Tarde,2025-03-18 13:11:45,Entrada
202500503,Tarde,2025-03-18 13:11:47,Saída
202500495,Tarde,2025-03-18 13:12:15,Entrada
202500383,Tarde,2025-03-18 13:12:21,Entrada
202500406,Tarde,2025-03-18 13:12:24,Entrada
202500408,Tarde,2025-03-18 13:12:27,Entrada
202500444,Tarde,2025-03-18 13:12:28,Saída
202500455,Tarde,2025-03-18 13:12:32,Entrada
202500432,Tarde,2025-03-18 13:12:37,Saída
202500433,Tarde,2025-03-18 13:13:24,Entrada
202500484,Tarde,2025-03-18 13:13:52,Entrada
202500458,Tarde,2025-03-18 13:14:11,Saída
202500466,Tarde,2025-03-18 13:16:12,Entrada
202500467,Tarde,2025-03-18 13:16:14,Entrada
202500434,Tarde,2025-03-18 13:16:15,Entrada
202500482,Tarde,2025-03-18 13:16:18,Entrada
202500464,Tarde,2025-03-18 13:17:50,Entrada
202500416,Tarde,2025-03-18 13:19:49,Entrada
202500399,Tarde,2025-03-18 13:19:58,Entrada
202500387,Tarde,2025-03-18 13:20:03,Entrada
202500420,Tarde,2025-03-18 13:20:04,Entrada
202500502,Tarde,2025-03-18 13:20:48,Entrada
202500391,Tarde,2025-03-18 13:21:01,Entrada
202500386,Tarde,2025-03-18 13:21:06,Entrada
202500419,Tarde,2025-03-18 13:21:08,Saída
202500443,Tarde,2025-03-18 13:23:06,Entrada
202500450,Tarde,2025-03-18 13:23:24,Saída
202500412,Tarde,2025-03-18 13:24:29,Entrada
202500453,Tarde,2025-03-18 13:24:52,Entrada
202500462,Tarde,2025-03-18 13:24:57,Entrada
202500476,Tarde,2025-03-18 13:25:10,Entrada
202500478,Tarde,2025-03-18 13:25:12,Entrada
202500474,Tarde,2025-03-18 13:25:47,Saída
202500459,Tarde,2025-03-18 13:25:51,Saída
202500469,Tarde,2025-03-18 13:30:12,Entrada
202500460,Tarde,2025-03-18 13:30:13,Entrada
202500451,Tarde,2025-03-18 13:30:18,Entrada
202500445,Tarde,2025-03-18 13:34:19,Entrada
202500498,Tarde,2025-03-18 13:42:34,Entrada
202500493,Tarde,2025-03-18 14:12:19,Entrada
202500490,Tarde,2025-03-18 17:02:47,Saída
202500493,Tarde,2025-03-18 17:18:26,Saída
202500495,Tarde,2025-03-18 17:30:17,Saída
202500498,Tarde,2025-03-18 17:32:21,Saída
202500462,Tarde,2025-03-18 17:35:06,Saída
202500445,Tarde,2025-03-18 17:36:20,Saída
202500478,Tarde,2025-03-18 17:41:19,Saída
202500467,Tarde,2025-03-18 17:41:29,Saída
202500466,Tarde,2025-03-18 17:41:34,Saída
202500470,Tarde,2025-03-18 17:41:36,Entrada
202500489,Tarde,2025-03-18 17:51:40,Saída
202500504,Tarde,2025-03-18 17:55:50,Saída
202500505,Tarde,2025-03-18 17:56:11,Entrada
202500424,Tarde,2025-03-18 17:59:20,Saída
202500418,Tarde,2025-03-18 17:59:22,Saída
202500426,Tarde,2025-03-18 17:59:25,Saída
202500384,Tarde,2025-03-18 17:59:33,Saída
202500482,Tarde,2025-03-18 17:59:37,Saída
202500453,Tarde,2025-03-18 17:59:43,Saída
202500395,Tarde,2025-03-18 17:59:54,Saída
202500404,Tarde,2025-03-18 17:59:55,Saída
202500401,Tarde,2025-03-18 17:59:57,Saída
202500481,Tarde,2025-03-18 17:59:59,Entrada
202500398,Tarde,2025-03-18 18:00:00,Saída
202500456,Tarde,2025-03-18 18:00:06,Saída
202500444,Tarde,2025-03-18 18:00:15,Entrada
202500443,Tarde,2025-03-18 18:00:19,Saída
202500406,Tarde,2025-03-18 18:00:21,Saída
202500438,Tarde,2025-03-18 18:00:23,Saída
202500432,Tarde,2025-03-18 18:00:27,Entrada
202500399,Tarde,2025-03-18 18:00:38,Saída
202500387,Tarde,2025-03-18 18:00:42,Saída
202500388,Tarde,2025-03-18 18:00:45,Saída
