codigo,turno,data/hora,tipo
202500002,Tarde,2025-03-26 09:58:24,Entrada
202500441,Tarde,2025-03-26 13:10:46,Saída
202500399,Tarde,2025-03-26 13:10:48,Saída
202500392,Tarde,2025-03-26 13:10:53,Saída
202500505,Tarde,2025-03-26 13:10:56,Entrada
202500427,Tarde,2025-03-26 13:11:01,Saída
202500438,Tarde,2025-03-26 13:11:04,Saída
202500418,Tarde,2025-03-26 13:11:08,Saída
202500426,Tarde,2025-03-26 13:11:12,Entrada
202500463,Tarde,2025-03-26 13:11:17,Entrada
202500393,Tarde,2025-03-26 13:11:21,Saída
202500394,Tarde,2025-03-26 13:11:24,Saída
202500435,Tarde,2025-03-26 13:11:27,Entrada
202500424,Tarde,2025-03-26 13:11:29,Saída
202500457,Tarde,2025-03-26 13:11:32,Entrada
202500404,Tarde,2025-03-26 13:11:35,Saída
202500395,Tarde,2025-03-26 13:11:37,Saída
202500483,Tarde,2025-03-26 13:11:39,Entrada
202500389,Tarde,2025-03-26 13:11:40,Entrada
202500421,Tarde,2025-03-26 13:11:41,Entrada
202500379,Tarde,2025-03-26 13:11:45,Saída
202500398,Tarde,2025-03-26 13:11:48,Saída
202500380,Tarde,2025-03-26 13:11:49,Saída
202500388,Tarde,2025-03-26 13:11:53,Saída
202500386,Tarde,2025-03-26 13:11:55,Saída
202500436,Tarde,2025-03-26 13:11:57,Saída
202500481,Tarde,2025-03-26 13:11:59,Entrada
202500413,Tarde,2025-03-26 13:12:00,Entrada
202500504,Tarde,2025-03-26 13:12:01,Saída
202500382,Tarde,2025-03-26 13:12:03,Entrada
202500408,Tarde,2025-03-26 13:12:06,Saída
202500384,Tarde,2025-03-26 13:12:31,Saída
202500406,Tarde,2025-03-26 13:12:56,Entrada
202500444,Tarde,2025-03-26 13:12:58,Entrada
202500455,Tarde,2025-03-26 13:13:02,Saída
202500383,Tarde,2025-03-26 13:13:13,Saída
202500490,Tarde,2025-03-26 13:14:24,Saída
202500415,Tarde,2025-03-26 13:15:05,Saída
202500494,Tarde,2025-03-26 13:15:25,Entrada
202500462,Tarde,2025-03-26 13:15:41,Saída
202500453,Tarde,2025-03-26 13:17:03,Entrada
202500451,Tarde,2025-03-26 13:17:04,Entrada
202500420,Tarde,2025-03-26 13:17:06,Entrada
202500387,Tarde,2025-03-26 13:17:07,Saída
202500401,Tarde,2025-03-26 13:17:09,Saída
202500437,Tarde,2025-03-26 13:17:12,Saída
202500400,Tarde,2025-03-26 13:17:14,Entrada
202500452,Tarde,2025-03-26 13:17:16,Entrada
202500497,Tarde,2025-03-26 13:18:25,Entrada
202500476,Tarde,2025-03-26 13:18:46,Entrada
202500470,Tarde,2025-03-26 13:18:49,Saída
202500419,Tarde,2025-03-26 13:20:35,Entrada
202500391,Tarde,2025-03-26 13:20:36,Entrada
202500482,Tarde,2025-03-26 13:21:38,Saída
202500466,Tarde,2025-03-26 13:22:19,Entrada
202500467,Tarde,2025-03-26 13:22:38,Entrada
202500407,Tarde,2025-03-26 13:24:20,Saída
202500460,Tarde,2025-03-26 13:25:49,Entrada
202500469,Tarde,2025-03-26 13:25:50,Entrada
202500443,Tarde,2025-03-26 13:25:51,Saída
202500488,Tarde,2025-03-26 13:28:03,Entrada
202500495,Tarde,2025-03-26 13:28:13,Saída
202500502,Tarde,2025-03-26 13:28:27,Saída
202500456,Tarde,2025-03-26 13:32:57,Entrada
202500500,Tarde,2025-03-26 13:53:48,Entrada
202500441,Tarde,2025-03-26 14:00:49,Entrada
202500493,Tarde,2025-03-26 14:05:05,Entrada
202500441,Tarde,2025-03-26 16:40:34,Saída
202500443,Tarde,2025-03-26 16:51:04,Entrada
202500455,Tarde,2025-03-26 16:51:13,Entrada
202500469,Tarde,2025-03-26 16:52:24,Saída
202500460,Tarde,2025-03-26 16:52:24,Saída
202500490,Tarde,2025-03-26 17:02:03,Entrada
