codigo,turno,data/hora
202500002,Tarde,2025-02-28 10:47:27
202500235,Manhã,2025-02-28 10:54:42
202500101,Manhã,2025-02-28 10:55:12
202400432,Manhã,2025-02-28 10:55:50
202500002,Tarde,2025-02-28 10:57:02
202500379,Tarde,2025-02-28 10:59:20
202500089,Manhã,2025-02-28 11:02:25
202500091,Manhã,2025-02-28 11:02:38
202500092,Manhã,2025-02-28 11:02:49
202500366,Manhã,2025-02-28 11:32:47
202500493,Tarde,2025-02-28 15:59:41
202500490,Tarde,2025-02-28 15:59:45
202500491,Tarde,2025-02-28 15:59:48
202500488,Tarde,2025-02-28 15:59:52
202500494,Tarde,2025-02-28 15:59:56
202500500,Tarde,2025-02-28 16:00:01
202500501,Tarde,2025-02-28 16:00:05
202500495,Tarde,2025-02-28 16:00:10
202500499,Tarde,2025-02-28 16:00:13
202500498,Tarde,2025-02-28 16:00:17
202400432,Manhã,2025-02-28 16:38:44
202400432,Manhã,2025-02-28 16:38:45
202500495,Tarde,2025-02-28 17:11:11
202500495,Tarde,2025-02-28 17:11:16
202400432,Manhã,2025-02-28 07:31:15
202500495,Tarde,2025-02-28 13:03:05
202500490,Tarde,2025-02-28 13:09:21
202500498,Tarde,2025-02-28 13:15:09
202500493,Tarde,2025-02-28 14:23:28
202500490,Tarde,2025-02-28 17:04:01
202500495,Tarde,2025-02-28 17:12:55
202500493,Tarde,2025-02-28 17:17:45
202500498,Tarde,2025-02-28 17:36:51
202500499,Tarde,2025-02-28 17:37:34
202500499,Tarde,2025-02-28 17:37:35
202500499,Tarde,2025-02-28 17:37:47
202500499,Tarde,2025-02-28 17:37:56
202500498,Tarde,2025-02-28 17:52:06
